253,Gbonyin,EK
254,Ido / Osi,EK
255,Ijero,EK
256,Ikere,EK
257,Ikole,EK
258,Ilejemeje,EK
259,Irepodun / Ifelodun,EK
260,Ise / Orun,EK
261,Oye,EK
262,Moba,EK
263,Aninri,EN
264,Enugu East,EN
265,Enugu North,EN
266,Enugu South,EN
267,Ezeagu,EN
268,Igbo Etiti,EN
269,Igbo Eze South,EN
270,Igbo Eze North,EN
271,Isi Uzo,EN
272,Nkanu East,EN
273,Nkanu West,EN
274,Nsukka,EN
275,Oji-River,EN
276,Udenu,EN
277,Udi,EN
278,Uzo-Uwani,EN
279,Akko,GO
280,Balanga,GO
281,Billiri,GO
282,Dukku,GO
283,Funakaye,GO
284,Gombe,GO
285,Kaltungo,GO
286,Kwami,GO
287,Nafada,GO
288,Shongom,GO
289,Yalmaltu/ Deba,GO
290,Aboh Mbaise,IM
291,Ahiazu Mbaise,IM
292,Ehime Mbano,IM
293,Ezinihitte Mbaise,IM
294,Ideato North,IM
295,Ideato South,IM
296,Ihitte/Uboma (Isinweke),IM
297,Ikeduru (Iho),IM
298,Isiala Mbano (Umuelemai),IM
299,Isu (Umundugba),IM
300,Mbaitoli (Nwaorieubi),IM
301,Ngor Okpala (Umuneke),IM
302,Njaba (Nnenasa),IM
303,Nkwerre,IM
304,Nwangele (Onu-Nwangele Amaigbo),IM
305,Obowo (Otoko),IM
306,Oguta (Oguta),IM
307,Ohaji/Egbema (Mmahu-Egbema),IM
308,Okigwe (Okigwe),IM
309,Onuimo (Okwe),IM
310,Orlu,IM
311,Orsu (Awo Idemili),IM
312,Oru-East,IM
313,Oru West (Mgbidi),IM
314,Owerri Municipal,IM
315,Owerri North (Orie Uratta),IM
316,Owerri West (Umuguma),IM
317,Auyo,JI
318,Babura,JI
319,Birnin Kudu,JI
320,Birniwa,JI
321,Buji,JI
322,Dutse,JI
323,Garki,JI
324,Gagarawa,JI
325,Gumel,JI
326,Guri,JI
327,Gwaram,JI
328,Gwiwa,JI
329,Hadejia,JI
330,Jahun,JI
331,Kafin Hausa,JI
332,Kaugama,JI
333,Kazaure,JI
334,KiriKa samma,JI
335,Kiyawa,JI
336,Maigatari,JI
337,Malam Madori,JI
338,Miga,JI
339,Ringim,JI
340,Roni,JI
341,Sule-Tankarkar,JI
342,Taura,JI
343,Yankwashi,JI
344,Birnin Gwari,KD
345,Chikun,KD
346,Giwa,KD
347,Igabi,KD
348,Ikara,KD
349,jaba,KD
350,Jema'a,KD
351,Kachia,KD
352,Kaduna North,KD
353,Kaduna South,KD
354,Kagarko,KD
355,Kajuru,KD
356,Kaura,KD
357,Kauru,KD
358,Kubau,KD
359,Kudan,KD
360,Lere,KD
361,Makarfi,KD
362,Sabon Gari,KD
363,Sanga,KD
364,Soba,KD
365,Zangon Kataf,KD
366,Zaria,KD
367,Ajingi,KN
368,Albasu,KN
369,Bagwai,KN
370,Bebeji,KN
371,Bichi,KN
372,Bunkure,KN
373,Dala,KN
374,Danbata,KN
375,Dawaki Kudu,KN
376,Dawaki Tofa,KN
377,Doguwa,KN
378,Fagge,KN
379,Gabasawa,KN
380,Garko,KN
381,Garun Malam,KN
382,Gaya,KN
383,Gezawa,KN
384,Gwale,KN
385,Gwarzo,KN
386,Kabo,KN
387,Kano Municipal,KN
388,Karaye,KN
389,Kibiya,KN
390,Kiru,KN
391,kumbotso,KN
392,Kunchi,KN
393,Kura,KN
394,Madobi,KN
395,Makoda,KN
396,Minjibir,KN
397,Nasarawa,KN
398,Rano,KN
399,Rimin Gado,KN
400,Rogo,KN
401,Shanono,KN
402,Sumaila,KN
403,Takai,KN
404,Tarauni,KN
405,Tofa,KN
406,Tsanyawa,KN
407,Tudun Wada,KN
408,Ungogo,KN
409,Warawa,KN
410,Wudil,KN
411,Bakori,KT
412,Batagarawa,KT
413,Batsari,KT
414,Baure,KT
415,Bindawa,KT
416,Charanchi,KT
417,Dandume,KT
418,Danja,KT
419,Dan Musa,KT
420,Daura,KT
421,Dutsi,KT
422,Dutsin-Ma,KT
423,Faskari,KT
424,Funtua,KT
425,Ingawa,KT
426,Jibia,KT
427,Kafur,KT
428,Kaita,KT
429,Kankara,KT
430,Kankia,KT
431,Katsina,KT
432,Kurfi,KT
433,Kusada,KT
434,Mai'Adua,KT
435,Malufashi,KT
436,Mani,KT
437,Mashi,KT
438,Matazu,KT
439,Musawa,KT
440,Rimi,KT
441,Sabuwa,KT
442,Safana,KT
443,Sandamu,KT
444,Zango,KT
445,Aliero,KE
446,Arewa,KE
447,Argungu,KE
448,Augie,KE
449,Bagudo,KE
450,Birnin Kebbi,KE
451,Bunza,KE
452,Dandi,KE
453,Fakai,KE
454,Gwandu,KE
455,Jega,KE
456,Kalgo,KE
457,Koko/Besse,KE
458,Maiyama,KE
459,Ngaski,KE
460,Sakaba,KE
461,Shanga,KE
462,Suru,KE
463,Wasagu/Danko,KE
464,Yauri,KE
465,Zuru,KE
466,Adavi,KO
467,Ajaokuta,KO
468,Ankpa,KO
469,Bassa,KO
470,Dekina,KO
471,Ibaji,KO
472,Idah,KO
473,Igalamela/Odolu,KO
474,Ijumu,KO
475,Kabba/Bunu,KO
476,Kogi . K. K.,KO
477,Lokoja,KO
478,Mopa Moro,KO
479,Ofu,KO
480,Ogori Mangogo,KO
481,Okehi,KO
482,Okene,KO
483,Olamaboro,KO
484,Omala,KO
485,Yagba East,KO
486,Yagba West,KO
487,Asa,KW
488,Baruten,KW
489,Edu,KW
490,Ekiti,KW
491,Ifelodun,KW
492,Ilorin East,KW
493,Ilorin-South,KW
494,Ilorin-West,KW
495,Irepodun,KW
496,Isin,KW
497,Kaiama,KW
498,Moro,KW
499,Offa,KW
500,Oke - Ero,KW
501,Oyun,KW
502,Patigi,KW
503,Agege,LA
504,Ajeromi/Ifelodun,LA
505,Alimosho,LA
506,Amuwo-Odofin,LA
507,Apapa,LA
508,Badagry,LA
509,Epe,LA
510,Eti-Osa,LA
511,Ibeju/Lekki,LA
512,Ifako-Ijaye,LA
513,Ikeja,LA
514,Ikorodu,LA
515,Kosofe,LA
516,Lagos Island,LA
517,Lagos Mainland,LA
518,Mushin,LA
519,Ojo,LA
520,Oshodi/Isolo,LA
521,Somolu,LA
522,Surulere,LA
523,Akwanga,NA
524,Awe,NA
525,Doma,NA
526,Karu,NA
527,Keana,NA
528,Keffi,NA
529,Kokona,NA
530,Lafia,NA
531,Nasarawa Eggon,NA
532,Toto,NA
533,Wamba,NA
534,Agaie,NI
535,Agwara,NI
536,Bida,NI
537,Borgu,NI
538,Bosso,NI
539,Chanchaga,NI
540,Edatti,NI
541,Gbako,NI
542,Gurara,NI
543,Katcha,NI
544,Kontagora,NI
545,Lapai,NI
546,Lavun,NI
547,Magama,NI
548,Mariga,NI
549,Mashegu,NI
550,Mokwa,NI
551,Munya,NI
552,Paikoro,NI
553,Rafi,NI
554,Rijau,NI
555,Shiroro,NI
556,Suleja,NI
557,Tafa,NI
558,Wushishi,NI
559,Abeokuta North,OG
560,Abeokuta South,OG
561,Ado Odo-Ota,OG
562,Egbado North,OG
563,Egbado South,OG
564,Ewekoro,OG
565,Ifo,OG
566,Ijebu East,OG
567,Ijebu North,OG
568,Ijebu North East,OG
569,Ijebu Ode,OG
570,Ikenne,OG
571,Imeko/Afon,OG
572,Ipokia,OG
573,Obafemi/Owode,OG
574,Odeda,OG
575,Odogbolu,OG
576,Ogun Water side,OG
577,Remo North,OG
578,Sagamu,OG
579,Akoko North East,ON
580,Akoko North West,ON
581,Akoko South East,ON
582,Akoko South West,ON
583,Akure North,ON
584,Akure South,ON
585,Ese-Odo,ON
586,Idanre,ON
587,Ifedore,ON
588,Ilaje,ON
589,Ileoluji/Okeigbo,ON
590,Irele,ON
591,Odigbo,ON
592,Okitipupa,ON
593,Ondo East,ON
594,Ondo West,ON
595,Ose,ON
596,Owo,ON
597,Atakumosa East,OS
598,Atakumosa West,OS
599,Ayedaade,OS
600,Ayedire,OS
601,Boluwaduro,OS
602,Boripe,OS
603,Ede North,OS
604,Ede South,OS
605,Egbedore,OS
606,Ejigbo,OS
607,Ife Central,OS
608,Ifedayo,OS
609,Ife East,OS
610,Ife North,OS
611,Ife South,OS
612,Ila,OS
613,Ilesa East,OS
614,Ilesa West,OS
615,Irewole,OS
616,Isokan,OS
617,Iwo,OS
618,Obokun,OS
619,Odo-Otin,OS
620,Ola-Oluwa,OS
621,Olorunda,OS
